name,iso,population,gini,gini-inversed,happyplanet,hdi,worldhappiness,sustainable
Comoros,COM,800000,55.9,44.1,23.1,0.752,0,0
Congo (Dem. Rep.),COD,81000000,42.1,57.9,0,0.457,4.31,24.8
Congo (Rep.),COG,4500000,48.9,51.1,18.8,0.606,4.88,32.7
Costa Rica,CRI,4900000,48.5,51.5,44.7,0.794,7.23,58.9
Cote d'Ivoire,CIV,24000000,41.5,58.5,14.4,0.794,5.04,30.5
Croatia,HRV,4200000,30.8,69.2,30.2,0.831,5.34,64.5
Cuba,CUB,11000000,-,0,0,0.777,0,0
Cyprus,CYP,800000,34.8,65.2,30.7,0.869,6.06,65.9
Czech Republic,CZE,11000000,-,0,27.3,0.888,6.79,71.1
Denmark,DNK,6000000,29,71,32.7,0.929,7.59,82
Djibouti,DJI,1000000,40.9,59.1,16.4,0.476,0,0
Dominica,DMA,100000,-,0,0,0.715,0,0
Dominican Republic,DOM,11000000,47.1,52.9,30.3,0.736,5.61,48.1
Ecuador,ECU,17000000,45.9,54.1,37,0.752,5.84,48.1
Egypt,EGY,98000000,31.8,68.2,23.8,0.696,3.93,43.1
El Salvador,SLV,6000000,36,64,35.6,0.674,6.34,47.2
Equatorial Guinea,GNQ,800000,-,0,0,0.591,0,0
Eritrea,ERI,5000000,-,0,0,0.44,0,0
Estonia,EST,1300000,34.8,65.2,17.9,0.871,5.94,70.8
Eswatini,SWZ,1100000,50.4,49.6,15.5,0.588,0,0
Ethiopia,ETH,105000000,33,67,26.7,0.463,4.18,32.3
Fiji,FJI,900000,-,0,0,0.741,0,49
Finland,FIN,6000000,27.2,72.8,31.3,0.92,7.79,81.3
France,FRA,67000000,29.3,70.7,30.4,0.901,6.64,73.9
Gabon,GAB,1900000,42.2,57.8,17.5,0.702,4.78,40.9
"Gambia, The",GMB,2100000,50.2,49.8,0,0.46,0,0
Georgia,GEO,3700000,40.1,59.9,31.1,0.78,4.45,55.4
Germany,DEU,83000000,27,73,29.8,0.936,7.07,79.6
Ghana,GHA,29000000,42.3,57.7,21.4,0.592,5.48,40.2
Greece,GRC,11000000,36.7,63.3,23.6,0.87,5.15,64.1
Grenada,GRD,108000,-,0,0,0.772,0,0
Guatemala,GTM,17000000,53,47,34.2,0.65,6.33,42.5
Guinea,GIN,13000000,39.4,60.6,0,0.459,4.87,28.3
Guinea-Bissau,GNB,1700000,-,0,0,0.455,0,0
Guyana,GUY,800000,44.6,55.4,0,0.654,0,42.8
Haiti,HTI,11000000,60.8,39.2,28.6,0.498,3.82,24.2
Honduras,HND,9000000,47.1,52.9,27.2,0.617,6.02,41.9
Hungary,HUN,10000000,28.2,71.8,26.4,0.838,6.07,66.1
Iceland,ISL,300000,28,72,31.1,0.935,7.48,83.7
India,IND,1339000000,35.2,64.8,29.2,0.64,4.05,40
Indonesia,IDN,264000000,36.8,63.2,35.7,0.694,5.1,46.4
Iran,IRN,81000000,44.5,55.5,24,0.798,4.72,48
Iraq,IRQ,38000000,-,0,26.5,0.685,4.46,37
Ireland,IRL,4700000,31.3,68.7,30,0.938,7.06,80.3
Israel,ISR,9000000,42.8,57.2,28.8,0.903,7.33,66.5
Italy,ITA,61000000,31.9,68.1,28.1,0.88,6.2,69.1
Jamaica,JAM,2800000,35,65,36.9,0.732,5.89,49.7
Japan,JPN,127000000,37.9,62.1,28.3,0.909,5.91,75.2
Jordan,JOR,10000000,39.7,60.3,0,0.735,4.81,48.7
Kazakhstan,KAZ,18000000,26.3,73.7,19.1,0.8,5.88,57.7
Kenya,KEN,50000000,48.5,51.5,24.2,0.59,4.48,35.4
Kiribati,KIR,100000,-,0,0,0.612,0,0
Korea (Dem. People’s Rep.),PRK,25000000,-,0,0,0,0,0
Korea (Rep.),KOR,51000000,35.7,64.3,24.8,0.903,5.87,0
Kosovo,-,1900000,23.2,76.8,0,0,6.15,0
Kuwait,KWT,4200000,-,0,0,0.803,6.09,65.7
Kyrgyzstan,KGZ,6000000,33.4,66.6,33.1,0.672,5.63,45.4
Laos,LAO,7000000,36.7,63.3,0,0.601,4.62,37.8
Latvia,LVA,2000000,34.5,65.5,17.1,0.847,6.09,66.1
Lebanon,LBN,4600000,-,0,21.9,0.757,5.15,44.8
Lesotho,LSO,1900000,63.2,36.8,16.7,0.52,0,29.5
Liberia,LBR,4400000,32,68,22.2,0.435,4.42,30.6
Libya,LBY,6000000,-,0,0,0.706,5.65,0
Liechtenstein,LIE,38000,-,0,0,0.916,0,0
Lithuania,LTU,2900000,37.9,62.1,21,0.858,6.27,67.4
Luxembourg,LUX,600000,30.4,69.6,13.2,0.904,7.06,83.2
Macedonia,MKD,2100000,33.7,66.3,23.4,0,5.23,52.5
Madagascar,MDG,26000000,41,59,0,0.519,4.08,31.1
Malawi,MWI,19000000,46.1,53.9,22.1,0.477,3.42,32.5
Malaysia,MYS,32000000,46.2,53.8,30.3,0.802,0,59.8
Maldives,MDV,400000,38.4,61.6,0,0.717,0,0
Mali,MLI,19000000,40.1,59.9,0,0.427,4.74,29.7
Malta,MLT,400000,28.1,71.9,29,0.878,6.68,68.8
Marshall Islands,MHL,53000,-,0,0,0.708,0,0
